year,quarter,platform,dau_millions,mau_millions,dau_mau_ratio,revenue_billions,arpu_dollars
2012,Q1,facebook,526,901,0.584,1.058,1.21
2012,Q2,facebook,552,955,0.578,1.184,1.28
2012,Q3,facebook,584,1007,0.580,1.262,1.29
2012,Q4,facebook,618,1056,0.585,1.585,1.54
2013,Q1,facebook,665,1110,0.599,1.458,1.35
2013,Q2,facebook,699,1155,0.605,1.813,1.60
2013,Q3,facebook,728,1189,0.612,2.016,1.72
2013,Q4,facebook,757,1228,0.616,2.585,2.14
2014,Q1,facebook,802,1276,0.629,2.502,2.00
2014,Q2,facebook,829,1317,0.629,2.910,2.24
2014,Q3,facebook,864,1350,0.640,3.203,2.40
2014,Q4,facebook,890,1393,0.639,3.851,2.81
2015,Q1,facebook,936,1441,0.649,3.543,2.50
2015,Q2,facebook,968,1490,0.650,4.042,2.76
2015,Q3,facebook,1007,1545,0.652,4.501,2.97
2015,Q4,facebook,1038,1591,0.652,5.841,3.73
2016,Q1,facebook,1090,1654,0.659,5.382,3.32
2016,Q2,facebook,1128,1712,0.659,6.436,3.82
2016,Q3,facebook,1179,1788,0.659,7.011,3.99
2016,Q4,facebook,1227,1860,0.660,8.809,4.83
2017,Q1,facebook,1284,1936,0.663,8.032,4.23
2017,Q2,facebook,1325,2006,0.661,9.321,4.73
2017,Q3,facebook,1368,2072,0.660,10.328,5.07
2017,Q4,facebook,1401,2129,0.658,12.972,6.18
2018,Q1,facebook,1449,2196,0.660,11.966,5.53
2018,Q2,facebook,1471,2234,0.658,13.231,6.01
2018,Q3,facebook,1495,2271,0.658,13.727,6.13
2018,Q4,facebook,1523,2320,0.656,16.914,7.37
2019,Q1,facebook,1562,2375,0.658,15.077,6.42
2019,Q2,facebook,1587,2414,0.657,16.886,7.05
2019,Q3,facebook,1621,2449,0.662,17.652,7.26
2019,Q4,facebook,1657,2498,0.663,21.082,8.52
2020,Q1,facebook,1732,2603,0.666,17.737,6.95
2020,Q2,facebook,1785,2701,0.661,18.687,7.05
2020,Q3,facebook,1820,2740,0.664,21.470,7.89
2020,Q4,facebook,1845,2797,0.660,28.072,10.14
2021,Q1,facebook,1878,2853,0.658,26.171,9.27
2021,Q2,facebook,1908,2895,0.659,29.077,10.12
2021,Q3,facebook,1930,2910,0.663,29.010,10.00
2021,Q4,facebook,1929,2912,0.662,33.671,11.57
2022,Q1,facebook,1960,2936,0.668,27.908,9.54
2022,Q2,facebook,1968,2934,0.671,28.822,9.82
2022,Q3,facebook,1984,2958,0.671,27.714,9.41
2022,Q4,facebook,2000,2963,0.675,32.165,10.86
2023,Q1,facebook,2037,2989,0.681,28.645,9.62
2023,Q2,facebook,2064,3030,0.681,31.999,10.63
2023,Q3,facebook,2085,3049,0.684,34.146,11.23
2023,Q4,facebook,2110,3065,0.688,40.111,13.12
2024,Q1,facebook,2140,3070,0.697,36.455,11.89
2024,Q2,facebook,2170,3075,0.706,39.071,12.72
2024,Q3,facebook,2200,3085,0.713,40.589,13.18
2024,Q4,facebook,2220,3095,0.717,48.385,15.65
2025,Q1,facebook,2240,3100,0.723,42.314,13.66
2025,Q2,facebook,2260,3110,0.727,42.688,13.75
2025,Q3,facebook,2280,3120,0.731,46.482,14.93
2025,Q4,facebook,2300,3130,0.735,59.894,19.17
